"","X","student_tracking_id","ethnicity","race","frpm","rptglng","fam_income","teachersurvey_el","teachersurvey_proficiency","MPability.x","langinst","wcj_lwi_ss","wcj_wa_ss","wcj_spelling_ss","wcm_lwi_ss","grade","age_month","school","langflu","ielpac_score","MPabilitySS","ELStatus","proxy_SES","HispanicStatus","taskInst","MT","clean_school_id"
"49",49,49,"Y",999,55,0,NA,NA,NA,0.347320565707483,"en",83,100,88,NA,1,95,6,"EO",NA,-0.485751028323686,"EO","NotReported","Hispanic","en","EO",NA
"50",50,50,"Y",999,55,0,NA,NA,NA,1.93860732327762,"en",86,102,83,NA,1,89,6,"EO",NA,1.37139001867547,"EO","NotReported","Hispanic","en","EO",NA
"51",51,51,"Y",999,55,0,NA,NA,NA,-0.367718076258661,"en",107,94,70,NA,1,96,6,"EO",NA,-1.245098718528,"EO","NotReported","Hispanic","en","EO",NA
"52",52,52,"Y",999,55,1,NA,NA,NA,-1.08380730363797,"en",78,92,74,NA,1,96,6,"EL",311,-1.96118794590731,"EL","NotReported","Hispanic","en","ES",NA
"53",53,53,"Y",999,55,0,NA,NA,NA,2.11423843491099,"en",94,109,81,NA,1,96,6,"EO",NA,1.23685779264165,"EO","NotReported","Hispanic","en","EO",NA
"54",54,54,"Y",999,55,1,NA,NA,NA,0.941705185176038,"en",98,115,102,NA,1,93,6,"EL",311,0.19725168762121,"EL","NotReported","Hispanic","en","ES",NA
"55",55,55,"Y",999,55,0,NA,NA,NA,2.05776407075363,"en",117,127,98,NA,1,98,6,"EO",NA,1.09176533200795,"EO","NotReported","Hispanic","en","EO",NA
"56",56,56,"Y",999,55,0,NA,NA,NA,1.45451004748544,"en",77,92,85,NA,1,98,6,"EO",NA,0.488511308739759,"EO","NotReported","Hispanic","en","EO",NA
"57",57,57,"Y",999,55,0,NA,NA,NA,1.36478651902627,"en",127,117,121,NA,1,88,6,"EO",NA,0.841878262662295,"EO","NotReported","Hispanic","en","EO",NA
"58",58,58,"Y",700,55,0,NA,NA,NA,0.86502319676307,"en",108,103,95,NA,1,91,6,"EO",NA,0.209187795684583,"EO","NotReported","Hispanic","en","EO",NA
"59",59,59,"Y",999,55,0,NA,NA,NA,2.58710096610185,"en",76,90,69,NA,1,97,6,"EO",NA,1.66541127559434,"EO","NotReported","Hispanic","en","EO",NA
"60",60,60,"N",700,55,0,NA,NA,NA,1.20017665857619,"en",NA,NA,NA,NA,1,93,6,"EO",NA,0.455723161021362,"EO","NotReported","Not Hispanic","en","EO",NA
"61",61,61,"N",700,0,0,NA,NA,NA,2.66145037260897,"en",102,100,80,NA,2,112,17,"EO",NA,1.0751249585289,"EO","Ineligible","Not Hispanic","en","EO",2
"62",62,62,"N",700,0,0,NA,NA,NA,1.53610776242455,"en",111,110,104,NA,2,104,17,"EO",NA,0.304254734249845,"EO","Ineligible","Not Hispanic","en","EO",2
"63",63,63,"N",700,0,0,NA,NA,NA,2.55656988528621,"en",114,108,104,NA,2,105,17,"EO",NA,1.28040780887333,"EO","Ineligible","Not Hispanic","en","EO",2
"64",64,64,"N",800,0,0,NA,NA,NA,1.45505300681336,"en",129,131,111,NA,2,109,17,"EO",NA,0.0016547374478021,"EO","Ineligible","Not Hispanic","en","EO",2
"65",65,65,"N",700,0,0,NA,NA,NA,1.52819741816006,"en",120,130,108,NA,2,111,17,"EO",NA,-0.0138189476818393,"EO","Ineligible","Not Hispanic","en","EO",2
"66",66,66,"N",700,0,0,NA,NA,NA,-1.25402104088266,"en",81,93,71,NA,2,116,17,"EO",NA,-3.01758264791541,"EO","Ineligible","Not Hispanic","en","EO",2
"67",67,67,"N",700,0,0,NA,NA,NA,-1.15133784753552,"en",101,103,80,NA,2,108,17,"EO",NA,-2.56042706866291,"EO","Ineligible","Not Hispanic","en","EO",2
"68",68,68,"N",700,0,0,NA,NA,NA,1.22587133145957,"en",124,116,114,NA,2,111,17,"EO",NA,-0.316145034382329,"EO","Ineligible","Not Hispanic","en","EO",2
"69",69,69,"Y",700,0,0,NA,NA,NA,1.13666685798728,"en",107,103,98,NA,2,103,17,"EO",NA,-0.0508771219492541,"EO","Ineligible","Hispanic","en","EO",2
"70",70,70,"N",700,0,0,NA,NA,NA,2.10408235356578,"en",113,122,105,NA,2,113,17,"EO",NA,0.47344789124754,"EO","Ineligible","Not Hispanic","en","EO",2
"71",71,71,"N",700,0,0,NA,NA,NA,1.7162014867256,"en",120,106,96,NA,2,104,17,"EO",NA,0.484348458550895,"EO","Ineligible","Not Hispanic","en","EO",2
"72",72,72,"N",700,0,0,NA,NA,NA,1.78648635130279,"en",113,111,99,NA,2,115,17,"EO",NA,0.0672337925082083,"EO","Ineligible","Not Hispanic","en","EO",2
