"","student_tracking_id","LetAbilitySS","LetAbility","ELStatus.x","proxy_SES.x","pseAbilitySS","pseAbility","ELStatus.y","proxy_SES.y","MPabilitySS","MPability.x","ELStatus","proxy_SES","wcj_lwi","wcj_lwi_ss","wcj_spelling","wcj_spelling_ss","wcj_wa","wcj_wa_ss","wcj_srt","wcj_srt_ss","wcm_lwi","wcm_lwi_ss","age_month","grade","ble_ucat","del_ucat","evo_ucat","rvo_ucat","nre_ucat","wre_ucat","srt_ucat","nwr_ucat","lnc","lco","rao","dgs","lsi_ucat","reading_outcome","cELStatus","cProxySES"
"857",857,0.845878741318349,0.706159238883065,"EO","NotReported",-0.616865079132654,-1.05111553873612,"EO","NotReported",NA,NA,NA,NA,47,116,12,88,12,101,NA,NA,NA,NA,95,1,NA,0.2156,0.9003,NA,-0.8966,0.9999,0.09,0.8183,NA,NA,34,8,NA,116,"EO","NotReported"
"858",858,1.06079381860077,1.01561942017272,"EO","NotReported",0.805297581442837,0.437914977855591,"EO","NotReported",NA,NA,NA,NA,50,118,19,105,20,118,NA,NA,NA,NA,96,1,NA,0.9109,0.9873,NA,-0.183,3,0.4366,0.2677,NA,NA,32,10,NA,118,"EO","NotReported"
"859",859,0.467698325289398,0.706159238883065,"EO","NotReported",0.0894943392496004,-0.0772846962889839,"EO","NotReported",NA,NA,NA,NA,40,96,17,93,13,95,NA,NA,NA,NA,103,1,NA,0.7586,0.9824,NA,-0.6571,0.5119,-0.323,0.4238,NA,NA,28,6,NA,96,"EO","NotReported"
"860",860,1.15095797152862,1.20032867710781,"EO","NotReported",0.738429725426616,0.437914977855591,"EO","NotReported",NA,NA,NA,NA,48,112,25,115,22,121,NA,NA,NA,NA,99,1,NA,0.7586,0.9817,NA,0.1353,1.1291,-0.0529,0.8557,NA,NA,33,7,NA,112,"EO","NotReported"
"861",861,-0.911396036300836,-1.05111553873612,"EO","NotReported",-0.616865079132654,-1.05111553873612,"EO","NotReported",NA,NA,NA,NA,23,83,14,93,12,99,NA,NA,NA,NA,95,1,NA,-3,-0.6041,NA,-0.8766,-1.0173,-0.8073,0.2475,NA,NA,27,8,NA,83,"EO","NotReported"
"862",862,1.4571484085646,1.69560932215827,"EO","NotReported",1.02017796139141,0.853398925852826,"EO","NotReported",NA,NA,NA,NA,51,112,19,98,17,105,NA,NA,NA,NA,103,1,NA,0.7586,0.2725,NA,0.1353,1.5321,-0.3721,1.9228,NA,NA,48,8,NA,112,"EO","NotReported"
"863",863,0.914595211510524,1.20032867710781,"EO","NotReported",1.55309310063298,1.41974799310251,"EO","NotReported",1.81723330006482,2.91615918352501,"EO","NotReported",50,110,16,90,15,99,NA,NA,NA,NA,104,1,NA,0.2156,0.6608,NA,-0.183,1.2232,-0.2986,-0.2308,NA,NA,46,8,NA,110,"EO","NotReported"
"864",864,-1.14144748372884,-1.37571209017136,"EO","NotReported",-0.141756877699199,-0.642875193318885,"EO","NotReported",-0.996405577035024,-0.384879224194708,"EO","NotReported",34,99,9,79,12,102,NA,NA,NA,NA,93,1,NA,1.5227,0.0639,NA,-0.1798,0.1386,-2.4165,0.358,NA,NA,36,8,NA,99,"EO","NotReported"
"865",865,0.377693230298476,0.568881591888524,"EO","NotReported",0.510565098922075,0.310352135375381,"EO","NotReported",NA,NA,NA,NA,28,82,13,83,13,96,NA,NA,NA,NA,102,1,NA,0.7586,-0.3543,NA,-0.183,-0.3016,-0.4704,1.4379,NA,NA,38,10,NA,82,"EO","NotReported"
"866",866,-0.410290713889889,-0.0772846962889839,"EO","NotReported",-0.426612212619149,-0.526523392141513,"EO","NotReported",NA,NA,NA,NA,13,50,7,57,5,47,NA,NA,NA,NA,110,1,NA,-0.1566,0.7626,NA,-3,-3,-2.7928,-0.0204,NA,NA,16,5,NA,50,"EO","NotReported"
"867",867,1.40987585656098,1.69560932215827,"EO","NotReported",1.55309310063298,1.41974799310251,"EO","NotReported",NA,NA,NA,NA,59,124,18,94,22,117,NA,NA,NA,NA,104,1,NA,1.8997,1.4555,NA,0.1353,1.5837,2.4884,0.5605,NA,NA,40,12,NA,124,"EO","NotReported"
